"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BAT2","18650 battery cell holder for smt","~","magnus:battery_holder_18650","1",""
"J1,J2","Connector for Wireless Charger","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J3","Connector for Force Config","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J4,J5,J6","Balance Pad","~","Connector_Wire:SolderWirePad_1x01_SMD_5x10mm","3",""
"R1,R2","10k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R3","3.3k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4,R5","220k","~","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"SW2","E-Switch SK12D07VG3","~","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","1",""
"U1","TP-4056","","magnus:lipo-tp4056","1",""
"U5","Waveshare ESP32 c3 Zero","https://www.waveshare.com/wiki/ESP32-C3-Zero?srsltid=AfmBOopQp5_wdbmavH59V2WZeIh0hCY8uWPe9mviRX_U-7M7kkwxvOPk","magnus:waveshare-esp32c3-zero","1",""
"U7","MPU-6050 Gyro","","magnus:gyro-mpu6050","1",""
"U8","DS18B20","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","1",""
